inconveniënt	adjectief
incorrect	adjectief
incourant	adjectief
inculpabel	adjectief
infaam	adjectief
inferieur	adjectief
informeel	adjectief
ingetogen	adjectief
inhumaan	adjectief
initieel	adjectief
inofficieel	adjectief
instabiel	adjectief
instrumenteel	adjectief
integer	adjectief
integraal	adjectief
interpretabel	adjectief
intrigerend	adjectief
inzichtelijk	adjectief
inzichtgevend	adjectief
ironisch	adjectief
irrationeel	adjectief
irreëel	adjectief
irrelevant	adjectief
irritabel	adjectief
kennisname	adjectief
klaarblijkelijk	adjectief
kwalijk	adjectief
kwalitatief	adjectief
kwantitatief	adjectief
kwestieus	adjectief
laaghartig	adjectief
laatdunkend	adjectief
labiel	adjectief
laborieus	adjectief
lachwekkend	adjectief
lamentabel	adjectief
langjarig	adjectief
lankmoedig	adjectief
lapidair	adjectief
larmoyant	adjectief
legio	adjectief
legitiem	adjectief
lezenswaard	adjectief
lezenswaardig	adjectief
lichtvaardig	adjectief
lofwaardig	adjectief
lovenswaardig	adjectief
lucullisch	adjectief
ludiek	adjectief
lumineus	adjectief
lustopwekkend	adjectief
luxueus	adjectief
macaber	adjectief
manifest	adjectief
marginaal	adjectief
markant	adjectief
matineus	adjectief
meelijwekkend	adjectief
megalomaan	adjectief
melancholiek	adjectief
meldenswaardig	adjectief
melodramatisch	adjectief
memorabel	adjectief
metaforisch	adjectief
methodisch	adjectief
meticuleus	adjectief
minachtend	adjectief
minuscuul	adjectief
minutieus	adjectief
minzaam	adjectief
moedwillig	adjectief
monomaan	adjectief
monter	adjectief
multi-interpretabel	adjectief
nader	adjectief
naïef	adjectief
nastrevenswaardig	adjectief
navenant	adjectief
navolgende	adjectief
navolgenswaardig	adjectief
navrant	adjectief
neerbuigend	adjectief
netelig	adjectief
nodeloos	adjectief
noemenswaard	adjectief
noemenswaardig	adjectief
noest	adjectief
noodlottig	adjectief
noodzakelijk	adjectief
notoir	adjectief
obsceen	adjectief
obstinaat	adjectief
officieus	adjectief
omineus	adjectief
omstandig	adjectief
omvangrijk	adjectief
onaangenaam	adjectief
onaanlokkelijk	adjectief
onaannemelijk	adjectief
onaantastbaar	adjectief
onaanvaardbaar	adjectief
onaanvechtbaar	adjectief
onaanzienlijk	adjectief
onacceptabel	adjectief
onafwendbaar	adjectief
onbaatzuchtig	adjectief
onbeduidend	adjectief
onberispelijk	adjectief
onbevredigend	adjectief
onbezoldigd	adjectief
onbuigzaam	adjectief
oncomfortabel	adjectief
onderhavig	adjectief
onderhavige	adjectief
onderhevig	adjectief
onderhoudend	adjectief
ondiplomatiek	adjectief
ongecompliceerd	adjectief
ongeëigend	adjectief
ongegeneerd	adjectief
ongegrond	adjectief
ongelijkwaardig	adjectief
ongeloofwaardig	adjectief
ongemoeid	adjectief
ongerieflijk	adjectief
onherroepelijk	adjectief
onjuist	adjectief
onontkoombaar	adjectief
onooglijk	adjectief
onplezierig	adjectief
onreglementair	adjectief
onrendabel	adjectief
onrustbarend	adjectief
onrustwekkend	adjectief
onsystematisch	adjectief
ontdaan	adjectief
ontheemd	adjectief
onthutsend	adjectief
onthutst	adjectief
ontluisterend	adjectief
ontoelaatbaar	adjectief
ontredderd	adjectief
ontsteld	adjectief
ontstemd	adjectief
ontstentenis	adjectief
ontstijgen	adjectief
ontvankelijk	adjectief
ontzagwekkend	adjectief
ontzet	adjectief
onverdienstelijk	adjectief
onverlet	adjectief
onverschrokken	adjectief
onwelriekend	adjectief
onwelvoeglijk	adjectief
onwillekeurig	adjectief
opgetogen	adjectief
opmerkenswaard	adjectief
opmerkenswaardig	adjectief
opportuun	adjectief
optimaal	adjectief
optioneel	adjectief
palliatief	adjectief
partieel	adjectief
passioneel	adjectief
pathetisch	adjectief
pedagogisch	adjectief
pedant	adjectief
perifeer	adjectief
periodiek	adjectief
permissief	adjectief
pernicieus	adjectief
pertinent	adjectief
pittoresk	adjectief
plausibel	adjectief
plezant	adjectief
plezierig	adjectief
polemisch	adjectief
polyinterpretabel	adjectief
pompeus	adjectief
potentieel	adjectief
pover	adjectief
pragmatisch	adjectief
praktikabel	adjectief
pregnant	adjectief
prematuur	adjectief
prestigieus	adjectief
pretentieus	adjectief
prijzenswaardig	adjectief
primair	adjectief
proactief	adjectief
probaat	adjectief
procedureel	adjectief
profitabel	adjectief
prominent	adjectief
proportioneel	adjectief
provisorisch	adjectief
provocatief	adjectief
publicabel	adjectief
pueriel	adjectief
rancuneus	adjectief
rationeel	adjectief
reactief	adjectief
recent	adjectief
rechtschapen	adjectief
redundant	adjectief
reglementair	adjectief
regulier	adjectief
relevant	adjectief
reparabel	adjectief
resoluut	adjectief
respectievelijk	adjectief
restant	adjectief
richtinggevend	adjectief
ridicuul	adjectief
rigide	adjectief
risicovol	adjectief
robuust	adjectief
routineus	adjectief
rustiek	adjectief
saillant	adjectief
sceptisch	adjectief
schamel	adjectief
schrikwekkend	adjectief
seculier	adjectief
secundair	adjectief
sensitief	adjectief
separaat	adjectief
significant	adjectief
slaapverwekkend	adjectief
smartelijk	adjectief
sober	adjectief
sociabel	adjectief
solitair	adjectief
specifiek	adjectief
spoedig	adjectief
sporadisch	adjectief
stoïcijns	adjectief
stringent	adjectief
structureel	adjectief
subiet	adjectief
suboptimaal	adjectief
subsidiabel	adjectief
substantieel	adjectief
subtiel	adjectief
succesievelijk	adjectief
summier	adjectief
superieur	adjectief
symbolisch	adjectief
systematisch	adjectief
talloos	adjectief
telegeniek	adjectief
tendentieus	adjectief
tentatief	adjectief
tijdig	adjectief
tiranniek	adjectief
toonaangevend	adjectief
transparant	adjectief
transportabel	adjectief
triomfantelijk	adjectief
triviaal	adjectief
turbulent	adjectief
uitdrukkelijk	adjectief
uitverkoren	adjectief
universeel	adjectief
urgent	adjectief
vacant	adjectief
valabel	adjectief
vanzelfsprekend	adjectief
variabel	adjectief
veelvoudig	adjectief
veelvuldig	adjectief
verachtelijk	adjectief
verbazingwekkend	adjectief
verbijsterd	adjectief
verbijsterend	adjectief
verbolgen	adjectief
verbouwereerd	adjectief
verderfelijk	adjectief
verdienstelijk	adjectief
verdorven	adjectief
vergevingsgezind	adjectief
verheugd	adjectief
vermakelijk	adjectief
vermeend	adjectief
vermeldenswaard	adjectief
vermeldenswaardig	adjectief
verrukt	adjectief
verwerpelijk	adjectief
vigerend	adjectief
vigilant	adjectief
viriel	adjectief
visionair	adjectief
volgtijdelijk	adjectief
voorafgaand	adjectief
voorhanden	adjectief
voorliggende	adjectief
voormalig	adjectief
voormelde	adjectief
voornoemde	adjectief
voortreffelijk	adjectief
vorenomschreven	adjectief
vorenstaande	adjectief
vreugdeloos	adjectief
vreugdevol	adjectief
vulgair	adjectief
wanstaltig	adjectief
weerzinwekkend	adjectief
weigerachtig	adjectief
welgemoed	adjectief
welriekend	adjectief
wetenswaard	adjectief
wetenswaardig	adjectief
wijlen	adjectief
willekeurig	adjectief
wispelturig	adjectief
woonachtig	adjectief
zorgwekkend	adjectief
c.q.	afkorting
c.s.	afkorting
d.w.z.	afkorting
aanstonds	bijwoord
achtereenvolgens	bijwoord
aldaar	bijwoord
aldanniet	bijwoord
aldra	bijwoord
aldus	bijwoord
allengs	bijwoord
allesbehalve	bijwoord
allicht	bijwoord
alom	bijwoord
alsdan	bijwoord
alstoen	bijwoord
althans	bijwoord
ambtshalve	bijwoord
andermaal	bijwoord
anderszins	bijwoord
anderzijds	bijwoord
beduidend	bijwoord
beleefdheidshalve	bijwoord
beroepshalve	bijwoord
beurtelings	bijwoord
bijgeval	bijwoord
bijgevolg	bijwoord
billijkheidshalve	bijwoord
circa	bijwoord
daarenboven	bijwoord
danig	bijwoord
danwel	bijwoord
derhalve	bijwoord
dermate	bijwoord
desalniettemin	bijwoord
desgevraagd	bijwoord
desniettegenstaande	bijwoord
desondanks	bijwoord
destijds	bijwoord
deswege	bijwoord
dezerzijds	bijwoord
dienaangaande	bijwoord
dienovereenkomstig	bijwoord
dientengevolge	bijwoord
doch	bijwoord
doorgaans	bijwoord
duidelijkheidshalve	bijwoord
dusdanig	bijwoord
echter	bijwoord
edoch	bijwoord
eenvoudigheidshalve	bijwoord
eerdaags	bijwoord
eerlijkheidshalve	bijwoord
eerst dan	bijwoord
eerstdan	bijwoord
elders	bijwoord
enerzijds	bijwoord
enigszins	bijwoord
enkel	bijwoord
ergo	bijwoord
eveneens	bijwoord
evenmin	bijwoord
evenwel	bijwoord
evenzeer	bijwoord
evenzo	bijwoord
fasegewijs	bijwoord
fatsoenshalve	bijwoord
gaarne	bijwoord
geenszins	bijwoord
gemakshalve	bijwoord
gemeenlijk	bijwoord
genoegzaam	bijwoord
gewetenshalve	bijwoord
gezondheidshalve	bijwoord
grosso modo	bijwoord
heden	bijwoord
hedenmiddag	bijwoord
hedenmorgen	bijwoord
hedenochtend	bijwoord
hier te lande	bijwoord
hieromtrent	bijwoord
hiertoe	bijwoord
hoofdzakelijk	bijwoord
ietwat	bijwoord
immers	bijwoord
incluis	bijwoord
indertijd	bijwoord
jongstleden	bijwoord
kortelings	bijwoord
kortheidshalve	bijwoord
laatstelijk	bijwoord
louter	bijwoord
mede	bijwoord
medio	bijwoord
meestentijds	bijwoord
menigmaal	bijwoord
merendeels	bijwoord
mijns inziens	bijwoord
mitsdien	bijwoord
mitsgaders	bijwoord
momenteel	bijwoord
nadien	bijwoord
nagenoeg	bijwoord
niettemin	bijwoord
nimmer	bijwoord
nochtans	bijwoord
onderwijl	bijwoord
onlangs	bijwoord
onverwijld	bijwoord
onzerzijds	bijwoord
