aandacht	348	0.9984714985	2.9619470929	0.9971264368	1.9152567361
aandachtig	312	0.9941892391	2.5234329603	0.9903846154	1.8232255903
aandachtspunt	321	0.9950432009	2.5788285319	0.9906542056	1.8266194337
aandak	315	0.1522782086	-1.0267113202	0.1682539683	-0.8970681746
aandammen	327	0.4536868532	-0.1163518346	0.4495412844	-0.1204477845
aandeel	344	0.9978808379	2.8598567483	0.9941860465	1.8731584238
aandeelhouder	346	0.9995271756	3.306216799	1	1.9599639845
aandelen	351	0.9984389809	2.9554593672	0.9971509972	1.9156229561
aandenken	354	0.9967336099	2.7197676509	0.9943502825	1.8754236557
aandienen	346	0.9892439495	2.2988738969	0.9797687861	1.7036884538
aandijken	324	0.4753054375	-0.0619396713	0.4691358025	-0.0735631111
aandikken	358	0.9893539285	2.3027636811	0.9804469274	1.7106224171
aandoen	337	0.9955070653	2.6125912794	0.9910979228	1.8322515852
aandoening	344	0.999620373	3.3672370202	1	1.9599639845
aandoenlijk	350	0.9937825657	2.499557022	0.9857142857	1.7675099919
aandraaien	305	0.991803999	2.4000685458	0.9803278689	1.7093990911
aandragen	357	0.9972523344	2.7764664142	0.9943977591	1.8760802756
aandrager	349	0.9411281801	1.564314878	0.9197707736	1.2746432832
aandrang	288	0.9871532305	2.2308126886	0.9756944444	1.6636591927
aandraven	369	0.8843880728	1.1972122037	0.8617886179	1.0097780765
aandrift	364	0.7866804435	0.794955973	0.7582417582	0.6598646994
aandrijven	330	0.9936211739	2.4904637171	0.9878787879	1.7926412693
aandrijving	341	0.9954147833	2.605634227	0.991202346	1.833585525
aandringen	319	0.9984106376	2.949904193	0.9968652038	1.9113772911
aandrukken	338	0.9950125602	2.5766989106	0.9911242604	1.8325877227
aanduiden	281	0.9944733288	2.5410078939	0.9857651246	1.7680875806
aanduiding	377	0.9956449583	2.6232284994	0.9920424403	1.8444377956
aandurven	358	0.9924951262	2.4321437806	0.9888268156	1.8040143953
aanduwen	340	0.9866693171	2.2164402489	0.9794117647	1.7000705975
aaneen	354	0.8981380807	1.2710135206	0.8672316384	1.0315992604
aanflitsen	324	0.6587540527	0.4090650901	0.6358024691	0.3292386537
aanfloepen	343	0.5465024365	0.1168295494	0.5364431487	0.086891171
aanfluiting	319	0.9878176913	2.25133042	0.9780564263	1.6865350502
aanfok	290	0.3042416314	-0.5122396981	0.3206896552	-0.4408655365
aanfokken	362	0.5502737043	0.1263528901	0.5386740331	0.0922249226
aangaan	348	0.9923331441	2.4243998568	0.9856321839	1.7665784624
aangaande	332	0.9874841969	2.240914619	0.9698795181	1.6107743408
aangapen	350	0.9518236593	1.6627989775	0.9314285714	1.339875839
aangebonden	293	0.9600341165	1.7510821121	0.9385665529	1.3828086386
aangeboren	330	0.9983348816	2.935487817	0.9939393939	1.8697744091
aangedaan	358	0.9974444754	2.7999501928	0.9944134078	1.8762968807
aangeduid	301	0.9895214656	2.3087570093	0.9800664452	1.7067219029
aangehuwd	346	0.827957281	0.9461238155	0.8005780347	0.7910724169
aangeklaagde	320	0.9961100984	2.6614796976	0.990625	1.8262507502
aangeland	326	0.9577515585	1.7251697637	0.9386503067	1.3833276709
aangelegd	57	0.9994842549	3.2817937436	1	1.9599639845
aangelegenheid	352	0.9933635597	2.4763623186	0.9857954545	1.7684324459
aangenaam	377	0.9976922016	2.8327049435	0.9946949602	1.8802091755
aangepast	330	0.9995403964	3.3141544635	1	1.9599639845
aangerukt	259	0.948433432	1.6298503186	0.9266409266	1.3124087997
aangeschoten	342	0.9981960032	2.9105446861	0.9970760234	1.9145058251
aangeslagen	314	0.9951711666	2.5878512779	0.9872611465	1.7853545758
aangespen	319	0.870980635	1.131038874	0.8432601881	0.9388541302
aangetast	356	0.9995283118	3.3068908656	1	1.9599639845
aangetrouwd	320	0.9980036138	2.8787321853	0.996875	1.911522252
aangeven	330	0.9925846673	2.4364879032	0.9878787879	1.7926412693
aangever	319	0.9901765521	2.3330238067	0.9811912226	1.7183287012
aangewezen	339	0.9983060398	2.930155844	0.9970501475	1.9141208206
aangezet	338	0.9981709867	2.9062383672	0.9940828402	1.8717398496
aangezicht	338	0.9871780727	2.2315630726	0.9763313609	1.66974203
aangezien	340	0.9995591288	3.3257713171	1	1.9599639845
aangeërfd	283	0.3985976554	-0.2569785771	0.406360424	-0.2248643474
aangieren	274	0.4853919725	-0.0366250813	0.4744525547	-0.0608736258
aangieten	320	0.6823729668	0.4743447761	0.65625	0.3811054548
aangifte	324	0.9981141315	2.8966471587	0.9969135802	1.9120935382
aangluren	267	0.5024773382	0.0062098059	0.5018726592	0.0044593722
aangolven	333	0.5182581045	0.0457822694	0.5135135135	0.0321852432
aangooien	334	0.8879256698	1.2155702824	0.8622754491	1.0117101799
aangorden	303	0.5148205521	0.037158164	0.5115511551	0.027510199
aangraven	269	0.5415412748	0.1043174249	0.5278810409	0.0664418877
aangrenzend	350	0.9968473934	2.7314718246	0.9942857143	1.8745319483
aangrijpen	358	0.9957585216	2.6322173805	0.9888268156	1.8040143953
aangrijpend	315	0.994184477	2.5231449109	0.9841269841	1.749765824
aangroei	313	0.9804256002	2.0626194375	0.96485623	1.5684628089
aangroeien	318	0.9920695724	2.4121017317	0.9842767296	1.7514163781
aanhaken	334	0.9914822016	2.3859385607	0.9820359281	1.7272000798
aanhalen	321	0.9963719482	2.6848561168	0.9937694704	1.8674554954
aanhalerig	333	0.8460607186	1.0196835561	0.8168168168	0.8451124674
aanhalig	334	0.9723873744	1.9170998231	0.9550898204	1.4934121239
aanhaling	346	0.9647938093	1.809248658	0.950867052	1.4634195912
aanhalingsteken	327	0.9980068963	2.8792511517	0.996941896	1.9125132282
aanhang	345	0.9990787208	3.1145017757	0.9971014493	1.9148844104
aanhangen	307	0.9944123076	2.5371663173	0.990228013	1.8212637416
aanhanger	324	0.9963814049	2.6857283496	0.9907407407	1.8277132894
aanhangig	354	0.8473513267	1.0251395494	0.8163841808	0.8436409813
aanhangsel	296	0.9968662998	2.7334533315	0.9932432432	1.86033717
aanhangwagen	329	0.9965780259	2.7043435911	0.9878419453	1.7922039389
aanhankelijk	328	0.9968138245	2.7279797997	0.993902439	1.8692692367
aanharken	303	0.9774416321	2.0035644638	0.9603960396	1.5331149907
aanhebben	340	0.8737515431	1.1443056189	0.85	0.9640916074
aanhef	362	0.9984232109	2.9523572747	0.9972375691	1.9169158841
aanheffen	366	0.9710230927	1.8960471157	0.956284153	1.5021432808
aanhikken	270	0.8738964874	1.1450051472	0.8481481481	0.9570965625
aanhinken	337	0.6231279463	0.3137063107	0.6112759644	0.2681606437
aanhitsen	327	0.3837088812	-0.2957542519	0.3914373089	-0.2614689556
aanhitser	350	0.4178812958	-0.2073166246	0.4228571429	-0.1847456085
aanhobbel	273	0.3174096845	-0.4749545497	0.336996337	-0.3984574186
aanhollen	334	0.7775278193	0.7638705964	0.754491018	0.6488009152
aanhoren	340	0.9987540262	3.0243175032	0.9970588235	1.9142498787
aanhorig	307	0.6849273161	0.4815222531	0.661237785	0.393909023
aanhouden	366	0.9979329532	2.8677444043	0.9945355191	1.8779901421
aanhoudend	340	0.9975248354	2.8102483034	0.9911764706	1.8332546785
aanhouder	307	0.9967347398	2.7198820563	0.993485342	1.863600338
aanhouding	332	0.9964954455	2.6964111698	0.9939759036	1.8702739641
aanhuwing	266	0.4271488558	-0.1836376669	0.4172932331	-0.1982401919
aanjagen	374	0.9947360437	2.5579899786	0.9893048128	1.8098383708
aanjager	341	0.9817340757	2.0909577818	0.9677419355	1.5924201904
aankaarten	338	0.9931908447	2.4671767817	0.9822485207	1.729454346
aankakken	263	0.8922671402	1.2386754344	0.8631178707	1.0150624793
aankalken	339	0.6962724741	0.5137095818	0.6784660767	0.4386509761
aankappen	291	0.4029866967	-0.2456238908	0.4020618557	-0.2353752092
aankijken	346	0.9985583723	2.979918023	0.9971098266	1.9150092068
aanklacht	332	0.9983298198	2.9345460052	0.9969879518	1.9131965771
aanklagen	362	0.9987116956	3.0141964925	0.9972375691	1.9169158841
aanklager	329	0.9990261111	3.0980816067	0.9969604863	1.9127889527
aanklampen	372	0.9718155549	1.9081727677	0.9569892473	1.5073520985
aankleden	338	0.9976120908	2.8217782678	0.9940828402	1.8717398496
aankleven	310	0.9494150865	1.6392085825	0.9258064516	1.3077216364
aanklikken	327	0.9947393636	2.5582093594	0.9908256881	1.8287892057
aankloppen	333	0.9991661927	3.1438138933	0.996996997	1.9133308893
aanknopen	310	0.9943156545	2.5311571184	0.9870967742	1.7834312562
aankoeken	328	0.9502682309	1.6474599672	0.9298780488	1.3308702513
aankomen	349	0.9996090008	3.3590891338	1	1.9599639845
aankomend	345	0.997446487	2.8002043882	0.9942028986	1.8733904141
aankomst	362	0.9970554604	2.7538942552	0.9944751381	1.8771521938
aankondigen	343	0.9995776535	3.3377184568	1	1.9599639845
aankondiging	373	0.9976512891	2.8270825442	0.9946380697	1.8794163353
aankoop	323	0.9995403244	3.3141106253	1	1.9599639845
aankopen	317	0.9984714095	2.9619291693	0.9968454259	1.911084748
aankoper	343	0.9692864887	1.8704091481	0.9533527697	1.4809130779
aankruien	346	0.6894639516	0.4943314795	0.6676300578	0.4104131655
aankruisen	339	0.9925963396	2.4370575922	0.9852507375	1.7622705402
aankunnen	313	0.9829448514	2.1187654121	0.9712460064	1.6227980261
aankweek	342	0.6998190773	0.5238802313	0.6695906433	0.4154974551
aankweken	325	0.8248427316	0.933979366	0.7969230769	0.7792267522
aanlaat	353	0.4854645873	-0.0364429413	0.4815864023	-0.0438623029
aanlachen	298	0.3179210488	-0.4735201934	0.3288590604	-0.4195253737
aanladen	349	0.4744441506	-0.0641028893	0.4699140401	-0.071705001
aanlanden	323	0.7782075343	0.7661535698	0.7492260062	0.6334028747
aanlandig	339	0.7691505645	0.7360522983	0.7433628319	0.6164302107
aanlappen	345	0.5492250422	0.1237036576	0.5420289855	0.100251164
aanlassen	272	0.7035344221	0.5345932449	0.6801470588	0.4430624173
aanleg	318	0.9982280866	2.9161477128	0.9968553459	1.9112314591
aanleggen	347	0.9981212879	2.8978398355	0.9971181556	1.9151333134
aanlegger	316	0.9231485635	1.4265734797	0.9018987342	1.1840521874
aanleiding	340	0.9980523004	2.8865103682	0.9970588235	1.9142498787
aanlengen	342	0.9609455965	1.761766204	0.9385964912	1.3829941271
aanleren	313	0.9994971459	3.2889250167	1	1.9599639845
aanleunen	352	0.9821708851	2.1008033789	0.96875	1.6010086649
aanliggen	320	0.9295171828	1.4722046043	0.90625	1.2052028563
aanlijken	285	0.2301517572	-0.7383471615	0.2421052632	-0.6588376927
aanlijmen	351	0.7083527668	0.5485789041	0.6866096866	0.4601039689
aanlijnen	327	0.9888476888	2.2851399589	0.9755351682	1.6621476153
aanloeien	305	0.5444749456	0.1117140879	0.5278688525	0.0664127993
aanloeren	350	0.4813511959	-0.0467626571	0.4771428571	-0.0544565459
aanloeven	370	0.5122992532	0.0308345413	0.5027027027	0.0064359819
